Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
64237,0.8174999952316284,0.8175041079521179,0.8175032138824463
64257,0.8174999952316284,0.8175040483474731,0.8175032138824463
64277,0.8174999952316284,0.8175038695335388,0.8175032138824463
64297,0.8174999952316284,0.8175039291381836,0.8175032138824463
64317,0.8174999952316284,0.8175041079521179,0.8175032138824463
64337,0.8174999952316284,0.8175040483474731,0.8175032138824463
64357,0.8174999952316284,0.8175038695335388,0.8175032138824463
64377,0.8174999952316284,0.8175039291381836,0.8175032138824463
64397,0.8174999952316284,0.8175041079521179,0.8175032138824463
64417,0.8174999952316284,0.8175040483474731,0.8175032138824463
64437,0.8174999952316284,0.8175038695335388,0.8175032138824463
64457,0.8174999952316284,0.8175039291381836,0.8175032138824463
64477,0.8174999952316284,0.8175041079521179,0.8175032138824463
64497,0.8174999952316284,0.8175040483474731,0.8175032138824463
64517,0.8174999952316284,0.8175038695335388,0.8175032138824463
64537,0.8174999952316284,0.8175039291381836,0.8175032138824463
64557,0.8174999952316284,0.8175041079521179,0.8175032138824463
64577,0.8174999952316284,0.8175040483474731,0.8175032138824463
64597,0.8174999952316284,0.8175038695335388,0.8175032138824463
64617,0.8174999952316284,0.8175039291381836,0.8175032138824463
64637,0.8174999952316284,0.8175041079521179,0.8175032138824463
64657,0.8174999952316284,0.8175040483474731,0.8175032138824463
64677,0.8174999952316284,0.8175038695335388,0.8175032138824463
64697,0.8174999952316284,0.8175039291381836,0.8175032138824463
64717,0.8174999952316284,0.8175041079521179,0.8175032138824463
64737,0.8174999952316284,0.8175040483474731,0.8175032138824463
64757,0.8174999952316284,0.8175038695335388,0.8175032138824463
64777,0.8174999952316284,0.8175039291381836,0.8175032138824463
64797,0.8174999952316284,0.8175041079521179,0.8175032138824463
64817,0.8174999952316284,0.8175040483474731,0.8175032138824463
64837,0.8174999952316284,0.8175038695335388,0.8175032138824463
64857,0.8174999952316284,0.8175039291381836,0.8175032138824463
64877,0.8174999952316284,0.8175041079521179,0.8175032138824463
64897,0.8174999952316284,0.8175040483474731,0.8175032138824463
64917,0.8174999952316284,0.8175038695335388,0.8175032138824463
64937,0.8174999952316284,0.8175039291381836,0.8175032138824463
64957,0.8174999952316284,0.8175041079521179,0.8175032138824463
64977,0.8174999952316284,0.8175040483474731,0.8175032138824463
64997,0.8174999952316284,0.8175038695335388,0.8175032138824463
65017,0.8174999952316284,0.8175039291381836,0.8175032138824463
65037,0.8174999952316284,0.8175041079521179,0.8175032138824463
